restaurant_id,year,total_revenue_eur,total_costs_eur,ebitda_eur,net_profit_eur,total_debt_eur,total_assets_eur
R0126,2023,241411.55,183223.71,58187.84,44598.34,64265.98,250997.35
R0126,2024,235647.96,179306.66,56341.3,39204.94,41879.25,195826.43
R0126,2025,260694.4,189852.74,70841.66,40357.35,125534.68,130256.85
R0127,2023,261125.61,205637.29,55488.32,32826.54,108065.15,230646.03
R0127,2024,249481.61,155131.84,94349.77,62513.53,146997.05,292747.34
R0127,2025,259713.75,181836.93,77876.82,50846.91,53023.26,285547.25
R0128,2023,439872.78,264571.85,175300.93,107042.04,168289.45,408877.26
R0128,2024,529034.64,402781.31,126253.33,64093.78,273007.98,485004.53
R0128,2025,410593.62,241086.69,169506.93,132933.62,189328.19,131648.25
R0129,2023,396577.85,219241.05,177336.8,145047.37,226195.25,175793.82
R0129,2024,445435.63,332712.16,112723.47,67633.49,144908.66,499270.58
R0129,2025,419558.61,332660.59,86898.02,55510.46,40879.52,277564.56
R0130,2023,240981.87,135639.22,105342.65,94225.03,95660.67,194386.93
R0130,2024,200137.37,132051.48,68085.89,35702.66,42919.58,200411.02
R0130,2025,216350.25,123267.06,93083.19,52208.31,68997.08,141775.89
R0131,2023,470974.73,359931.26,111043.47,78046.83,230637.64,228176.53
R0131,2024,468612.21,280156.09,188456.12,99873.71,211579.01,259696.48
R0131,2025,464313.15,268761.6,195551.55,146706.05,107861.35,162200.2
R0132,2023,375934.92,212851.36,163083.56,138940.34,119442.58,295287.32
R0132,2024,402740.99,237010.77,165730.22,116792.15,93548.14,123290.05
R0132,2025,356310.94,253106.65,103204.29,73070.83,121605.62,244485.61
R0133,2023,485371.91,347396.55,137975.36,123727.56,170794.22,219360.13
R0133,2024,612717.92,434744.88,177973.04,124275.62,312462.86,710163.82
R0133,2025,538429.24,308564.48,229864.76,163341.3,149463.14,644826.51
R0134,2023,484800.18,310468.54,174331.64,135750.1,66537.32,147598.64
R0134,2024,429206.09,278447.75,150758.34,124212.68,156837.8,404770.54
R0134,2025,489356.63,374259.17,115097.46,81081.07,251676.44,507851.13
R0135,2023,305331.09,186643.73,118687.36,60829.76,18059.78,253112.69
R0135,2024,349378.46,278207.2,71171.26,54603.77,184883.04,278142.72
R0135,2025,352355.6,211168.75,141186.85,107668.0,165345.8,192794.55
R0136,2023,242869.72,170970.91,71898.81,64471.86,145570.92,120321.66
R0136,2024,239824.5,142798.8,97025.7,54114.87,98940.04,77641.12
R0136,2025,253326.2,173038.56,80287.64,68358.8,1888.75,122509.54
R0137,2023,209579.36,128913.42,80665.94,45537.24,120489.29,127971.9
R0137,2024,198148.76,131196.02,66952.74,47827.58,69236.48,120101.64
R0137,2025,223446.55,156503.52,66943.03,42561.44,123957.84,79504.0
R0138,2023,331118.37,216303.44,114814.93,87402.71,42637.65,241321.43
R0138,2024,355171.97,231717.92,123454.05,79578.02,113355.15,118653.93
R0138,2025,348316.77,244955.85,103360.92,66004.32,100932.29,277067.93
R0139,2023,404426.28,296618.58,107807.7,92253.35,87615.75,378665.09
R0139,2024,408148.76,261030.12,147118.64,100056.3,158521.03,192116.15
R0139,2025,371179.82,267904.96,103274.86,83943.49,1873.29,225872.98
R0140,2023,66822.25,39702.45,27119.8,15858.95,4719.35,29170.53
R0140,2024,73546.73,53997.64,19549.09,12739.39,16520.28,66211.3
R0140,2025,61808.4,38867.96,22940.44,19219.84,34258.09,28863.61
R0141,2023,236592.62,184199.38,52393.24,46411.26,61391.85,255466.52
R0141,2024,256286.9,156079.17,100207.73,72925.56,26344.61,215390.11
R0141,2025,248155.63,173487.8,74667.83,37734.76,95704.17,231272.54
R0142,2023,526431.5,415676.37,110755.13,73197.67,28582.24,319512.36
R0142,2024,431109.45,287104.92,144004.53,106434.29,90589.23,323639.33
R0142,2025,414092.83,229119.94,184972.89,151933.65,233300.63,281620.67
R0143,2023,316849.42,225960.11,90889.31,50127.56,2190.51,102089.34
R0143,2024,304259.39,185274.61,118984.78,91622.05,112986.14,350541.38
R0143,2025,267818.44,206287.15,61531.29,34335.81,133559.93,161922.82
R0144,2023,142682.41,86275.53,56406.88,40451.36,9690.31,45956.42
R0144,2024,130077.51,79458.21,50619.3,40285.84,49606.71,101267.22
R0144,2025,145741.87,90162.65,55579.22,48814.56,35182.18,97348.4
R0145,2023,673727.16,465709.0,208018.16,118979.01,115436.42,563322.29
R0145,2024,714396.73,416198.05,298198.68,149751.1,331109.89,464457.03
R0145,2025,677506.28,375748.96,301757.32,257308.71,17849.77,631343.64
R0146,2023,371875.43,253175.64,118699.79,78870.82,188906.83,155635.85
R0146,2024,397558.0,278257.5,119300.5,80513.07,45867.66,386088.29
R0146,2025,358359.69,207783.94,150575.75,88426.5,165902.97,389607.81
R0147,2023,1092087.94,711424.96,380662.98,315944.99,179533.86,747188.68
R0147,2024,976760.25,560616.87,416143.38,224749.91,42068.33,878091.54
R0147,2025,1052675.92,830531.98,222143.94,196627.12,499012.13,736950.59
R0148,2023,531064.38,360171.88,170892.5,92126.84,285025.27,480265.9
R0148,2024,471321.81,292987.33,178334.48,107915.65,97799.74,196592.51
R0148,2025,551000.41,405053.17,145947.24,85331.53,215589.26,218128.48
R0149,2023,995563.28,736256.51,259306.77,146259.11,111647.75,1031081.02
R0149,2024,839148.89,546275.48,292873.41,241770.78,383648.15,756501.63
R0149,2025,852386.36,677746.52,174639.84,137577.15,39051.42,645619.86
R0150,2023,198336.28,114338.7,83997.58,52776.84,29921.85,103754.56
R0150,2024,241482.05,166647.15,74834.9,49664.57,93745.13,130954.37
R0150,2025,197895.81,112562.22,85333.59,50217.21,18412.86,99736.32
R0151,2023,296199.14,225213.52,70985.62,44723.23,123375.88,330899.64
R0151,2024,306390.02,203592.7,102797.32,51773.81,183375.8,99607.79
R0151,2025,326308.14,201577.04,124731.1,109739.03,108673.38,263756.95
R0152,2023,74892.59,59244.8,15647.79,11735.68,40397.19,74110.06
R0152,2024,58996.73,33573.87,25422.86,21703.05,5184.44,26915.78
R0152,2025,68998.24,51018.53,17979.71,10146.87,23942.77,64901.21
R0153,2023,372306.82,245661.5,126645.32,100149.7,37380.7,137587.94
R0153,2024,411609.67,316438.55,95171.12,55980.88,32773.78,405666.96
R0153,2025,447693.41,322522.46,125170.95,88532.08,150985.82,310013.45
R0154,2023,419898.27,274004.92,145893.35,80096.39,201458.81,154332.74
R0154,2024,396331.66,238112.24,158219.42,101288.19,166125.69,264212.7
R0154,2025,344022.29,227112.92,116909.37,91141.59,79109.34,205115.84
R0155,2023,400087.79,223872.33,176215.46,89722.9,234972.04,313367.76
R0155,2024,354087.46,241971.23,112116.23,100717.78,66907.28,133262.4
R0155,2025,342730.33,244580.13,98150.2,55409.12,144651.36,242816.16
R0156,2023,524441.56,362039.77,162401.79,97956.93,235283.02,321585.62
R0156,2024,461496.26,262386.66,199109.6,152438.86,153328.9,326912.7
R0156,2025,548312.61,304382.47,243930.14,188019.92,147166.88,253551.64
R0157,2023,129513.4,80608.39,48905.01,43858.08,33913.36,63340.74
R0157,2024,127906.51,74569.02,53337.49,30707.69,66005.94,71790.17
R0157,2025,154003.82,104774.61,49229.21,35074.67,56796.58,71575.6
R0158,2023,296541.31,227317.04,69224.27,43221.96,59813.92,236147.39
R0158,2024,251167.87,194291.45,56876.42,33971.71,1586.9,247254.81
R0158,2025,308351.94,202796.82,105555.12,85168.42,141787.99,102425.6
R0159,2023,741739.69,443344.21,298395.48,204181.71,5072.9,522034.74
R0159,2024,698214.79,556058.67,142156.12,105312.9,365557.81,809758.22
R0159,2025,674935.23,402291.01,272644.22,165230.87,222861.23,522941.8
R0160,2023,816441.19,572330.26,244110.93,161773.44,464501.6,306328.54
R0160,2024,720212.59,557433.55,162779.04,105943.5,10759.28,301414.04
R0160,2025,786867.9,559928.33,226939.57,136760.99,290127.21,349866.61
R0161,2023,328036.33,208885.04,119151.29,105748.22,37355.1,375986.61
R0161,2024,344609.1,257748.33,86860.77,58458.86,28693.41,325258.12
R0161,2025,395915.5,226619.29,169296.21,109122.95,36906.2,395412.27
R0162,2023,557489.71,307124.96,250364.75,217621.93,76272.23,473660.19
R0162,2024,582561.28,359499.33,223061.95,115526.32,25700.1,263480.72
R0162,2025,563138.22,386542.23,176595.99,107833.1,187341.57,546690.39
R0163,2023,639562.82,432675.25,206887.57,158480.96,265758.61,439141.96
R0163,2024,580507.36,338364.06,242143.3,208690.06,11735.36,418579.15
R0163,2025,680207.83,516525.22,163682.61,127131.84,201299.34,478361.48
R0164,2023,331575.97,237115.62,94460.35,72418.76,127159.2,123179.95
R0164,2024,305473.81,241100.16,64373.65,53555.19,162825.41,320504.05
R0164,2025,301617.64,233345.57,68272.07,60649.79,53313.41,216191.15
R0165,2023,243245.72,142418.41,100827.31,56571.21,127645.42,135665.58
R0165,2024,221606.4,122436.96,99169.44,78572.33,16381.91,191500.53
R0165,2025,203822.77,139511.26,64311.51,44463.75,98374.28,133566.46
R0166,2023,288882.86,174829.7,114053.16,78730.5,165113.27,215991.74
R0166,2024,293066.7,228525.87,64540.83,43755.98,94645.03,204033.65
R0166,2025,297932.99,225877.72,72055.27,42524.98,86056.85,338659.48
R0167,2023,209552.9,160568.15,48984.75,43793.33,47257.83,123807.37
R0167,2024,193018.76,144274.44,48744.32,35523.02,49354.24,157084.94
R0167,2025,198349.46,126759.95,71589.51,49743.34,109871.01,98309.39
R0168,2023,202988.2,146040.32,56947.88,33666.63,81987.95,186406.37
R0168,2024,260273.56,205129.47,55144.09,31984.4,119755.71,187911.25
R0168,2025,214780.05,122888.55,91891.5,61119.95,44212.03,214401.05
R0169,2023,437023.99,269021.31,168002.68,137974.76,224662.07,348372.32
R0169,2024,464635.95,329617.58,135018.37,91041.94,274322.82,206413.96
R0169,2025,439799.32,280827.54,158971.78,115154.39,219822.97,157121.47
R0170,2023,244435.81,184513.11,59922.7,33174.51,127832.43,227847.17
R0170,2024,204486.66,137413.97,67072.69,40784.43,50892.42,237696.38
R0170,2025,268916.73,153276.94,115639.79,83203.34,121776.55,256867.89
R0171,2023,348696.21,192284.6,156411.61,108127.44,111339.52,233358.82
R0171,2024,314736.47,237647.37,77089.1,53569.66,54494.38,197179.81
R0171,2025,297647.01,181323.0,116324.01,73048.44,93908.57,249747.27
R0172,2023,584297.52,466391.04,117906.48,105090.57,187512.98,268554.3
R0172,2024,519294.05,290926.05,228368.0,141511.7,127770.32,489007.01
R0172,2025,668642.07,475528.42,193113.65,123098.36,384961.78,356239.86
R0173,2023,844389.6,592797.96,251591.64,145347.43,451732.23,923518.67
R0173,2024,940298.38,581279.43,359018.95,240949.4,141202.44,1121643.23
R0173,2025,963187.17,687594.2,275592.97,148837.81,190216.29,401080.41
R0174,2023,1026811.5,750368.38,276443.12,206049.51,184276.03,907219.2
R0174,2024,955107.96,538251.4,416856.56,235401.57,111334.01,984108.07
R0174,2025,1105453.47,718652.89,386800.58,298516.73,358984.4,984881.42
R0175,2023,156042.53,109907.84,46134.69,26280.53,93526.22,123557.82
R0175,2024,161623.29,128693.74,32929.55,24187.19,54089.82,49567.87
R0175,2025,153976.88,122984.69,30992.19,18610.29,69544.96,181550.01
